est_time_microsecs,motion_detected
0.0,0
118362.0,0
232775.0,0
354832.0,0
477475.0,0
593362.0,0
715433.0,0
837910.0,0
956609.0,0
1108849.0,0
1227155.0,0
1349758.0,0
1465813.0,0
1592952.0,0
1711745.0,0
1826319.0,0
1948248.0,0
2071186.0,0
2190641.0,1
2343300.0,1
2453704.0,0
2564582.0,0
2684642.0,0
2789103.0,0
2909638.0,0
3028432.0,0
3144671.0,0
3262538.0,0
3384802.0,0
3541462.0,0
3660703.0,0
3774693.0,0
3893368.0,0
4005977.0,0
4124173.0,0
4246134.0,0
4363253.0,0
4481891.0,0
4595865.0,0
4746762.0,0
4877951.0,0
4989557.0,0
5116001.0,0
5232555.0,0
5359189.0,0
5477194.0,0
5592201.0,0
5719792.0,0
5837145.0,0
5997263.0,0
6111438.0,0
6238600.0,0
6358880.0,0
6475767.0,0
6590993.0,0
6710041.0,0
6824605.0,0
6951926.0,0
7078128.0,0
7195394.86,0
7312661.72,0
7429928.58,0
7547195.44,0
7664462.3,0
7781729.16,0
7898996.02,0
8016262.88,0
8133529.74,0
8250796.6,0
8368063.46,0
8485330.32,0
8602597.18,0
8719864.04,0
8837130.9,0
8954397.76,0
9071664.620000001,0
9188931.48,0
9306198.34,0
9423465.2,0
9540732.06,0
9657998.92,0
9775265.78,0
9892532.64,0
10009799.5,0
10127066.36,0
10244333.22,0
10361600.08,0
10478866.94,0
10596133.8,0
10713400.66,0
10830667.52,0
10947934.379999999,0
11065201.24,0
11182468.1,0
11299734.96,0
11417001.82,0
11534268.68,0
11651535.54,0
11768802.4,0
11886069.26,0
12003336.12,0
12120602.98,0
12237869.84,0
12355136.7,0
12472403.56,0
12589670.42,0
12706937.28,0
12824204.14,0
12941471.0,0
13017682.0,0
13101160.0,0
13184792.0,0
13261187.0,0
13341150.0,0
13420897.0,0
13500859.0,0
13584393.0,0
13671403.0,0
13769698.0,0
13846180.0,0
13956926.0,0
14071756.0,0
14193891.0,0
14317198.0,0
14435563.0,0
14550141.0,0
14669332.0,0
14785150.0,0
14945833.0,1
15062133.0,1
15189306.0,0
15307464.0,0
15426985.0,0
15548895.0,0
15675554.0,0
15794205.0,0
15908771.0,0
16036197.0,0
16195927.0,0
16311190.0,0
16437559.0,0
16563888.0,0
16679988.0,0
16807166.0,0
16923955.0,0
17049946.0,0
17169415.0,0
17293293.0,0
17453751.0,0
17569280.0,0
17695898.0,0
17822667.0,0
17938161.0,0
18064932.0,0
18184801.0,0
18304051.0,0
18426991.0,0
18542889.0,0
18702535.0,0
18818563.0,0
18941104.0,0
19064586.0,0
19179128.0,0
19297399.0,0
19424559.0,0
19542552.0,0
19662287.0,0
19784891.0,0
19900544.66,0
20016198.32,0
20131851.98,0
20247505.64,0
20363159.3,0
20478812.96,0
20594466.62,0
20710120.28,0
20825773.939999998,0
20941427.6,0
21057081.259999998,0
21172734.92,0
21288388.58,0
21404042.24,0
21519695.9,0
21635349.56,0
21751003.22,0
21866656.88,0
21982310.54,0
22097964.2,0
22213617.86,0
22329271.52,0
22444925.18,0
22560578.84,0
22676232.5,0
22791886.16,0
22907539.82,0
23023193.48,0
23138847.14,0
23254500.8,0
23370154.46,0
23485808.12,0
23601461.78,0
23717115.44,0
23832769.1,0
23948422.76,0
24064076.42,0
24179730.08,0
24295383.74,0
24411037.4,0
24526691.06,0
24642344.72,0
24757998.38,0
24873652.04,0
24989305.7,0
25104959.36,0
25220613.02,0
25336266.68,0
25451920.34,0
25567574.0,0
25647402.0,0
25730861.0,0
25807215.0,0
25890238.0,0
25966514.0,0
26049384.0,0
26125780.0,0
26208928.0,0
26285561.0,0
26386769.0,0
26470255.0,0
26585931.0,0
26710726.0,0
26824563.0,0
26947068.0,0
27073334.0,0
27199417.0,0
27323022.0,0
27442102.0,0
27595343.0,0
27719143.0,0
27839809.0,0
27961832.0,0
28088668.0,0
28206822.0,0
28321296.0,0
28448535.0,0
28574831.0,0
28691209.0,0
28851854.0,0
28967753.0,0
29095635.0,0
29215497.0,0
29338145.0,0
29453901.0,0
29581267.0,0
29696828.0,0
29824511.0,0
29939998.0,0
30101197.0,0
30217169.0,0
30344901.0,0
30460817.0,0
30588219.0,0
30703536.0,0
30830678.0,0
30950265.0,0
31074289.0,0
31189715.0,0
31341923.0,0
31457889.0,0
31576191.0,0
31704189.0,0
31824207.0,0
31940174.0,0
32063619.0,0
32179353.0,0
32307414.0,0
32423258.0,0
32538811.22,0
32654364.439999998,0
32769917.66,0
32885470.88,0
33001024.1,0
33116577.32,0
33232130.54,0
33347683.759999998,0
33463236.98,0
33578790.2,0
33694343.42,0
33809896.64,0
33925449.86,0
34041003.08,0
34156556.3,0
34272109.52,0
34387662.74,0
34503215.96,0
34618769.18,0
34734322.4,0
34849875.62,0
34965428.84,0
35080982.06,0
35196535.28,0
35312088.5,0
35427641.72,0
35543194.94,0
35658748.16,0
35774301.38,0
35889854.6,0
36005407.82,0
36120961.04,0
36236514.26,0
36352067.48,0
36467620.7,0
36583173.92,0
36698727.14,0
36814280.36,0
36929833.58,0
37045386.8,0
37160940.02,0
37276493.24,0
37392046.46,0
37507599.68,0
37623152.9,0
37738706.12,0
37854259.34,0
37969812.56,0
38085365.78,0
38200919.0,0
38287909.0,0
38364414.0,0
38444380.0,0
38531307.0,0
38607827.0,0
38687927.0,0
38775034.0,0
38858279.0,0
38934614.0,0
39033135.0,0
39125731.0,0
39241597.0,0
39368325.0,0
39495621.0,0
39611601.0,0
39738246.0,0
39857151.0,0
39972752.0,1
40092407.0,1
40253299.0,0
40368696.0,0
40483465.0,0
40603302.0,0
40727026.0,0
40840416.0,0
40963226.0,0
41078089.0,0
41196000.0,0
41323144.0,0
41477324.0,1
41600568.0,1
41719532.0,0
41842766.0,0
41962490.0,0
42081468.0,0
42197515.0,0
42320608.0,0
42440264.0,0
42558907.0,0
42723988.0,0
42840029.0,0
42962510.0,0
43078314.0,0
43192683.0,0
43312312.0,0
43427661.0,0
43555357.0,0
43673381.0,0
43797589.0,1
43958121.0,1
44077941.0,0
44200746.0,0
44325964.0,0
44445159.0,0
44568999.0,0
44688453.0,0
44807312.0,0
44931072.0,0
45051100.0,0
45167208.82,0
45283317.64,0
45399426.46,0
45515535.28,0
45631644.1,0
45747752.92,0
45863861.74,0
45979970.56,0
46096079.38,0
46212188.2,0
46328297.019999996,0
46444405.84,0
46560514.66,0
46676623.48,0
46792732.3,0
46908841.12,0
47024949.94,0
47141058.76,0
47257167.58,0
47373276.4,0
47489385.22,0
47605494.04,0
47721602.86,0
47837711.68,0
47953820.5,0
48069929.32,0
48186038.14,0
48302146.96,0
48418255.78,0
48534364.6,0
48650473.42,0
48766582.24,0
48882691.06,0
48998799.88,0
49114908.7,0
49231017.52,0
49347126.34,0
49463235.16,0
49579343.98,0
49695452.8,0
49811561.62,0
49927670.44,0
50043779.26,0
50159888.08,0
50275996.9,0
50392105.72,0
50508214.54,0
50624323.36,0
50740432.18,0
50856541.0,0
50936607.0,0
51019952.0,0
51096252.0,0
51176206.0,0
51263398.0,0
51346921.0,0
51423508.0,0
51503432.0,0
51590413.0,0
51688787.0,0
51774516.0,0
51889853.0,0
52017694.0,0
52133503.0,0
52253497.0,0
52368257.0,0
52487852.0,0
52602575.0,0
52730012.0,0
52890229.0,0
53005426.0,0
53127624.0,0
53249389.0,0
53368257.0,0
53482756.0,0
53605263.0,0
53727805.0,0
53846417.0,0
53955773.0,0
54048786.0,0
54138319.0,0
54214804.0,0
54291317.0,0
54374779.0,0
54451118.0,0
54534412.0,0
54610822.0,0
54700136.0,0
54826962.0,0
54987208.0,0
55102472.0,0
55229192.0,0
55348215.0,0
55473239.0,0
55589045.0,0
55716367.0,0
55831766.0,0
55959850.0,0
56075075.0,0
56236113.0,0
56351741.0,0
56479520.0,0
56595226.0,0
56717563.0,0
56840753.0,0
56956683.0,0
57076292.0,0
57195591.0,0
57319342.0,0
57436022.36,0
57552702.72,0
57669383.08,0
57786063.44,0
57902743.8,0
58019424.16,0
58136104.519999996,0
58252784.88,0
58369465.24,0
58486145.6,0
58602825.96,0
58719506.32,0
58836186.68,0
58952867.04,0
59069547.4,0
59186227.76,0
59302908.12,0
59419588.48,0
59536268.84,0
59652949.2,0
59769629.56,0
59886309.92,0
60002990.28,0
60119670.64,0
60236351.0,0
60353031.36,0
60469711.72,0
60586392.08,0
60703072.44,0
60819752.8,0
60936433.16,0
61053113.52,0
61169793.88,0
61286474.24,0
61403154.6,0
61519834.96,0
61636515.32,0
61753195.68,0
61869876.04,0
61986556.4,0
62103236.76,0
62219917.12,0
62336597.48,0
62453277.84,0
62569958.2,0
62686638.56,0
62803318.92,0
62919999.28,0
63036679.64,0
63153360.0,0
63230521.0,0
63305778.0,0
63382119.0,0
63458582.0,0
63542027.0,0
63618369.0,0
63701570.0,0
63777908.0,0
63858056.0,0
63951471.0,0
64027953.0,0
64143858.0,0
64261188.0,0
64388441.0,0
64506691.0,0
64626503.0,0
64748227.0,0
64867310.0,0
64985271.0,0
65144155.0,0
65263729.0,0
65381215.0,0
65503505.0,0
65622012.0,0
65737059.0,0
65855236.0,0
65973184.0,0
66099891.0,0
66215769.0,0
66376137.0,0
66491533.0,0
66614677.0,0
66737427.0,0
66853095.0,0
66979347.0,0
67098350.0,0
67213449.0,0
67340603.0,0
67455973.0,0
67607702.0,0
67727975.0,0
67842660.0,0
67969655.0,0
68085619.0,0
68213451.0,0
68333127.0,0
68456315.0,0
68572769.0,1
68699867.0,1
68852792.0,0
68976729.0,0
69092385.0,0
69219314.0,0
69338317.0,0
69453425.0,0
69580129.0,0
69695936.0,0
69822780.0,0
69938540.0,0
70056258.63265306,0
70173977.26530612,0
70291695.89795919,0
70409414.53061225,0
70527133.1632653,0
70644851.79591836,0
70762570.42857143,0
70880289.06122449,0
70998007.69387755,0
71115726.3265306,0
71233444.95918368,0
71351163.59183674,0
71468882.2244898,0
71586600.85714285,0
71704319.48979592,0
71822038.12244898,0
71939756.75510204,0
72057475.3877551,0
72175194.02040817,0
72292912.65306123,0
72410631.28571428,0
72528349.91836734,0
72646068.55102041,0
72763787.18367347,0
72881505.81632653,0
72999224.44897959,0
73116943.08163266,0
73234661.71428572,0
73352380.34693877,0
73470098.97959183,0
73587817.6122449,0
73705536.24489796,0
73823254.87755102,0
73940973.51020408,0
74058692.14285715,0
74176410.7755102,0
74294129.40816326,0
74411848.04081632,0
74529566.6734694,0
74647285.30612245,0
74765003.93877551,0
74882722.57142857,0
75000441.20408164,0
75118159.8367347,0
75235878.46938775,0
75353597.10204081,0
75471315.73469388,0
75589034.36734694,0
75706753.0,0
75786708.0,0
75863096.0,0
75939395.0,0
76019309.0,0
76106280.0,0
76182698.0,0
76262652.0,0
76349528.0,0
76425957.0,0
76517278.0,0
76593484.0,0
76702507.0,0
76826149.0,0
76952399.0,0
77067906.0,0
77195671.0,0
77311392.0,0
77439435.0,0
77557678.0,0
77723781.0,0
77839882.0,0
77962537.0,0
78078534.0,0
78201939.0,0
78317556.0,0
78445416.0,0
78560841.0,0
78688636.0,0
78804475.0,0
78964630.0,0
79084018.0,0
79207984.0,0
79327729.0,0
79446905.0,0
79569197.0,0
79684876.0,0
79812166.0,0
79931639.0,0
80055497.0,0
80216325.0,0
80335789.0,0
80459440.0,0
80578959.0,0
80702828.0,0
80830720.0,0
80954210.0,0
81073706.0,0
81196546.0,0
81311827.0,0
81472926.0,0
81593519.0,1
81716869.0,0
81832223.0,0
81960195.0,0
82075560.0,0
82203593.0,0
82323605.0,0
82447229.0,0
82562983.0,1
82678752.8,0
82794522.6,0
82910292.4,0
83026062.2,0
83141832.0,0
83257601.8,0
83373371.6,0
83489141.4,0
83604911.2,0
83720681.0,0
83836450.8,0
83952220.6,0
84067990.4,0
84183760.2,0
84299530.0,0
84415299.8,0
84531069.6,0
84646839.4,0
84762609.2,0
84878379.0,0
84994148.8,0
85109918.6,0
85225688.4,0
85341458.2,0
85457228.0,0
85572997.8,0
85688767.6,0
85804537.4,0
85920307.2,0
86036077.0,0
86151846.8,0
86267616.6,0
86383386.4,0
86499156.2,0
86614926.0,0
86730695.8,0
86846465.6,0
86962235.4,0
87078005.2,0
87193775.0,0
87309544.8,0
87425314.6,0
87541084.4,0
87656854.2,0
87772624.0,0
87888393.8,0
88004163.6,0
88119933.4,0
88235703.2,0
88351473.0,1
88428053.0,0
88508130.0,0
88591795.0,0
88669009.0,0
88752520.0,0
88828929.0,0
88905802.0,0
88985879.0,0
89069708.0,0
89165109.0,0
89241781.0,0
89321660.0,0
89449140.0,0
89568482.0,0
89691994.0,0
89811836.0,0
89935143.0,0
90054855.0,0
90178593.0,0
90339909.0,0
90457237.0,0
90571779.0,0
90699235.0,0
90814938.0,0
90942642.0,0
91058611.0,0
91186308.0,0
91302652.0,0
91421548.0,0
91580420.0,0
91695532.0,0
91817362.0,0
91939624.0,0
92065780.0,0
92184316.0,0
92302530.0,0
92421573.0,0
92543927.0,0
92663146.0,0
92820062.0,0
92947803.0,0
93063104.0,0
93183069.0,0
93307054.0,0
93422927.0,0
93550865.0,0
93666686.0,0
93794114.0,0
93912389.0,0
94069433.0,0
94197280.0,0
94315486.0,0
94435185.0,0
94550953.0,0
94674328.0,0
94789990.0,0
94912570.0,0
95029490.0,0
95152730.0,0
95269087.04,0
95385444.08,0
95501801.12,0
95618158.16,0
95734515.2,0
95850872.24,0
95967229.28,0
96083586.32,0
96199943.36,0
96316300.4,0
96432657.44,0
96549014.48,0
96665371.52,0
96781728.56,0
96898085.6,0
97014442.64,0
97130799.68,0
97247156.72,0
97363513.76,0
97479870.8,0
97596227.84,0
97712584.88,0
97828941.92,0
97945298.96,0
98061656.0,0
98178013.04,0
98294370.08,0
98410727.12,0
98527084.16,0
98643441.2,0
98759798.24,0
98876155.28,0
98992512.32,0
99108869.36,0
99225226.4,0
99341583.44,0
99457940.48,0
99574297.52,0
99690654.56,0
99807011.6,0
99923368.64,0
100039725.68,0
100156082.72,0
100272439.76,0
100388796.8,0
100505153.84,0
100621510.88,0
100737867.92,0
100854224.96,0
100970582.0,0
101050347.0,0
101133694.0,0
101210086.0,0
101290229.0,0
101373711.0,0
101460733.0,0
101544342.0,0
101620724.0,0
101704191.0,0
101802650.0,1
101921983.0,1
102037860.0,0
102157078.0,0
102276698.0,0
102400566.0,0
102515288.0,0
102641634.0,0
102761454.0,0
102876541.0,1
103036449.0,0
103155640.0,0
103270879.0,1
103388014.0,1
103506158.0,0
103627779.0,1
103741161.0,1
103867032.0,1
103993631.0,1
104108385.0,0
104259862.0,0
104387153.0,0
104502105.0,0
104620424.0,0
104746626.0,0
104873439.0,0
104999264.0,0
105117889.0,0
105231904.0,0
105354132.0,0
105514257.0,0
105636921.0,0
105755078.0,0
105870876.0,1
105998032.0,1
106115590.0,0
106230476.0,0
106352362.0,0
106474858.0,0
106594091.0,0
106745631.0,0
106863957.0,0
106986498.0,0
107106323.0,1
107223947.0,1
107337911.0,0
107459904.0,0
107582453.0,0
107701112.0,0
107820404.0,0
107937491.52,0
108054579.04,0
108171666.56,0
108288754.08,0
108405841.6,0
108522929.12,0
108640016.64,0
108757104.16,0
108874191.68,0
108991279.2,0
